PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,64,137277,33929
20,64,101287,29724
30,64,91703,27620
40,64,67921,22173
50,64,53973,18014
60,64,46439,15199
70,64,41333,13467
80,64,37354,12188
90,64,34397,10992
100,64,37270,12674
110,64,25376,8156
120,64,23936,7866
130,64,24155,8058
140,64,19523,6139
150,64,14832,4465
160,64,19176,5879
170,64,15680,4999
180,64,12884,3343
190,64,14558,4138
200,64,12035,3563
210,64,12133,3121
220,64,7761,1712
230,64,8234,2028
240,64,8770,1946
250,64,7470,1695
260,64,7175,1773
270,64,5054,1297
280,64,6582,1395
290,64,4447,1212
300,64,6658,1626
310,64,5257,1457
320,64,7076,1577
330,64,5926,1506
340,64,3955,1131
350,64,5616,1301
360,64,3907,1116
370,64,4646,1156
380,64,5117,1156
390,64,5780,1423
400,64,4597,1120
410,64,4333,1147
420,64,4604,1081
430,64,4340,1129
440,64,4464,1078
450,64,4914,1130
460,64,4224,1074
470,64,4051,1075
480,64,4270,1067
490,64,4770,1082
500,64,3490,969
510,64,4421,1091
520,64,4061,1079
530,64,3379,990
540,64,3531,1012
550,64,3355,961
560,64,3339,965
570,64,4492,1059
580,64,4005,1077
590,64,3383,959
600,64,3472,980
610,64,3602,1019
620,64,3697,991
630,64,3907,996
640,64,4329,1035
650,64,3484,969
660,64,3896,1023
670,64,4514,1099
680,64,4423,996
690,64,3322,977
700,64,4149,1004
710,64,3386,956
720,64,3885,955
730,64,4239,965
740,64,4596,1041
750,64,4312,981
760,64,4123,955
770,64,3529,979
780,64,3906,1027
790,64,4031,1048
800,64,3927,1005
810,64,3825,1009
820,64,3632,958
830,64,3461,924
840,64,3713,939
850,64,3725,914
860,64,3711,925
870,64,3381,887
880,64,3322,881
890,64,3100,803
900,64,3349,860
910,64,3467,903
920,64,3687,905
930,64,3653,935
940,64,3314,905
950,64,3631,950
960,64,3739,970
970,64,3809,986
980,64,3959,963
990,64,4510,1011
1000,64,3565,970
1010,64,3686,972
1020,64,3599,963
1030,64,3384,903
1040,64,3740,911
1050,64,3806,925
1060,64,4011,937
1070,64,3629,864
1080,64,3526,807
1090,64,3703,865
1100,64,3660,806
1110,64,3722,825
1120,64,3584,829
1130,64,3808,849
1140,64,3518,800
1150,64,3625,840
1160,64,3550,846
1170,64,3841,911
1180,64,3959,923
1190,64,3714,874
1200,64,3885,909
1210,64,4239,949
1220,64,3819,895
1230,64,3698,860
1240,64,3612,849
1250,64,4280,917
1260,64,3843,904
1270,64,3908,928
1280,64,3778,887
1290,64,3974,912
1300,64,3637,900
1310,64,4008,883
1320,64,4090,959
1330,64,3718,875
1340,64,4421,927
1350,64,3928,918
1360,64,4240,931
1370,64,4323,924
1380,64,4053,882
1390,64,4521,900
1400,64,4356,905
1410,64,4451,906
1420,64,4078,806
1430,64,3858,800
1440,64,3554,720
1450,64,4222,773
1460,64,3470,743
1470,64,4114,752
1480,64,3734,788
1490,64,3669,766
1500,64,3596,773
1510,64,4300,797
1520,64,4195,765
1530,64,4143,827
1540,64,4499,842
1550,64,4027,852
1560,64,3583,814
1570,64,4598,881
1580,64,4286,863
1590,64,3702,819
1600,64,3859,837
1610,64,3967,818
1620,64,5055,843
1630,64,4287,893
1640,64,3930,839
1650,64,3915,818
1660,64,4137,861
1670,64,4217,820
1680,64,4354,835
1690,64,4214,872
1700,64,3704,839
1710,64,3822,819
1720,64,4145,841
1730,64,3946,792
1740,64,4083,817
1750,64,4486,865
1760,64,4522,861
1770,64,3506,760
1780,64,4322,831
1790,64,4362,825
1800,64,3768,804
1810,64,4108,779
1820,64,5207,947
1830,64,4630,920
1840,64,4212,866
1850,64,3586,882
1860,64,4206,905
1870,64,4588,922
1880,64,4752,936
1890,64,4132,882
1900,64,4518,943
1910,64,4074,901
1920,64,5001,951
1930,64,4034,868
1940,64,4461,909
1950,64,4291,874
1960,64,4435,867
1970,64,4374,904
1980,64,4294,875
1990,64,4473,927
2000,64,4510,904
2010,64,4943,962
2020,64,4871,940
2030,64,4036,867
2040,64,4712,914
2050,64,4687,935
2060,64,5141,963
2070,64,5102,888
2080,64,4948,931
2090,64,5357,1011
2100,64,4153,890
2110,64,4647,910
2120,64,4600,922
2130,64,5686,977
2140,64,4733,935
2150,64,4233,723
2160,64,4448,702
2170,64,4285,751
2180,64,4281,716
2190,64,3938,703
2200,64,3915,699
2210,64,4387,728
2220,64,3714,702
2230,64,4808,781
2240,64,4270,758
2250,64,4447,732
2260,64,4213,722
2270,64,4310,703
2280,64,3862,709
2290,64,3790,707
2300,64,4919,760
2310,64,3455,697
2320,64,4219,686
2330,64,3577,743
2340,64,3523,725
2350,64,4325,740
2360,64,3708,750
2370,64,4404,767
2380,64,3711,726
2390,64,5087,769
2400,64,3769,721
2410,64,3961,703
2420,64,4879,775
2430,64,3860,738
2440,64,4310,750
2450,64,4316,729
2460,64,4617,758
2470,64,4704,748
