PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 64, 41657, 775
20, 64, 13967, 632
30, 64, 9234, 551
40, 64, 4596, 552
50, 64, 4847, 513
60, 64, 3740, 543
70, 64, 3398, 497
80, 64, 3217, 467
90, 64, 3120, 459
100, 64, 3034, 457
110, 64, 3006, 445
120, 64, 2942, 453
130, 64, 2948, 454
140, 64, 2810, 433
150, 64, 2744, 451
160, 64, 2644, 409
170, 64, 2627, 393
180, 64, 2662, 465
190, 64, 2651, 461
200, 64, 2404, 391
210, 64, 2493, 409
220, 64, 2490, 417
230, 64, 2338, 355
240, 64, 2515, 453
250, 64, 2483, 448
260, 64, 2287, 396
270, 64, 2454, 472
280, 64, 2317, 407
290, 64, 2270, 387
300, 64, 2362, 434
310, 64, 2116, 348
320, 64, 2220, 388
330, 64, 2312, 411
340, 64, 2327, 466
350, 64, 2358, 462
360, 64, 2143, 370
370, 64, 2119, 356
380, 64, 2206, 415
390, 64, 2143, 374
400, 64, 2138, 380
410, 64, 2272, 417
420, 64, 2054, 378
430, 64, 1989, 364
440, 64, 1991, 354
450, 64, 2096, 392
460, 64, 2139, 412
470, 64, 2131, 442
480, 64, 2021, 357
490, 64, 2043, 361
500, 64, 2132, 419
510, 64, 2139, 429
520, 64, 2063, 428
530, 64, 1996, 370
540, 64, 1917, 350
550, 64, 1939, 357
560, 64, 1965, 355
570, 64, 2038, 403
580, 64, 2091, 440
590, 64, 2114, 458
600, 64, 2048, 425
610, 64, 2052, 388
620, 64, 1951, 335
630, 64, 2012, 360
640, 64, 2012, 386
650, 64, 2079, 433
660, 64, 2024, 407
670, 64, 2052, 464
680, 64, 2074, 491
690, 64, 1966, 442
700, 64, 2034, 463
710, 64, 1960, 391
720, 64, 1858, 339
730, 64, 1875, 340
740, 64, 1835, 321
750, 64, 1923, 384
760, 64, 1930, 374
770, 64, 1970, 436
780, 64, 2064, 476
790, 64, 2031, 464
800, 64, 2115, 470
810, 64, 2050, 453
820, 64, 2104, 448
830, 64, 2095, 468
840, 64, 2205, 482
850, 64, 2141, 394
860, 64, 1939, 348
870, 64, 1843, 331
880, 64, 1854, 349
890, 64, 1879, 347
900, 64, 1922, 386
910, 64, 1964, 391
920, 64, 1984, 383
930, 64, 2082, 431
940, 64, 2065, 465
950, 64, 2076, 459
960, 64, 2014, 449
970, 64, 2085, 464
980, 64, 2106, 463
990, 64, 2164, 474
1000, 64, 2153, 475
1010, 64, 2172, 495
1020, 64, 2216, 501
1030, 64, 2176, 473
1040, 64, 2204, 475
1050, 64, 2174, 481
1060, 64, 2128, 428
1070, 64, 2181, 437
1080, 64, 1848, 337
1090, 64, 1845, 325
1100, 64, 1882, 337
1110, 64, 1840, 312
1120, 64, 1904, 352
1130, 64, 1900, 358
1140, 64, 1902, 351
1150, 64, 1929, 386
1160, 64, 1985, 423
1170, 64, 2069, 454
1180, 64, 2051, 467
1190, 64, 2037, 463
1200, 64, 2063, 453
1210, 64, 2048, 464
1220, 64, 2019, 445
1230, 64, 2144, 480
1240, 64, 2125, 473
1250, 64, 2139, 462
1260, 64, 2159, 492
1270, 64, 2127, 454
1280, 64, 2092, 467
1290, 64, 2131, 470
1300, 64, 2195, 494
1310, 64, 2167, 486
1320, 64, 2203, 491
1330, 64, 2190, 500
1340, 64, 2267, 505
1350, 64, 2261, 523
1360, 64, 2247, 532
1370, 64, 2216, 510
1380, 64, 2242, 534
1390, 64, 2261, 510
1400, 64, 2256, 508
1410, 64, 2308, 510
1420, 64, 2262, 473
1430, 64, 2264, 452
1440, 64, 1784, 312
1450, 64, 1755, 327
1460, 64, 1712, 301
1470, 64, 1822, 330
1480, 64, 1767, 344
1490, 64, 1771, 361
1500, 64, 1790, 365
1510, 64, 1822, 380
1520, 64, 1742, 357
1530, 64, 1770, 366
1540, 64, 1800, 383
1550, 64, 1794, 393
1560, 64, 1858, 435
1570, 64, 1829, 420
1580, 64, 1828, 416
1590, 64, 1847, 425
1600, 64, 1825, 409
1610, 64, 1875, 440
1620, 64, 1856, 422
1630, 64, 1926, 441
1640, 64, 1887, 428
1650, 64, 1846, 432
1660, 64, 1879, 438
1670, 64, 1918, 422
1680, 64, 1966, 459
1690, 64, 1937, 423
1700, 64, 1949, 444
1710, 64, 1958, 429
1720, 64, 1924, 426
1730, 64, 2005, 426
1740, 64, 2079, 437
1750, 64, 1993, 446
1760, 64, 1980, 438
1770, 64, 1944, 428
1780, 64, 2027, 443
1790, 64, 1990, 448
1800, 64, 1986, 443
1810, 64, 2015, 454
1820, 64, 2034, 450
1830, 64, 2054, 479
1840, 64, 2009, 439
1850, 64, 2344, 538
1860, 64, 2428, 537
1870, 64, 2405, 550
1880, 64, 2389, 536
1890, 64, 2403, 538
1900, 64, 2435, 539
1910, 64, 2416, 522
1920, 64, 2401, 529
1930, 64, 2532, 537
1940, 64, 2461, 549
1950, 64, 2484, 538
1960, 64, 2558, 536
1970, 64, 2523, 546
1980, 64, 2620, 547
1990, 64, 2533, 568
2000, 64, 2566, 562
2010, 64, 2626, 571
2020, 64, 2496, 564
2030, 64, 2507, 570
2040, 64, 2527, 577
2050, 64, 2568, 568
2060, 64, 2518, 578
