PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25,8,120448,33448
50,8,101776,28895
100,8,69809,19838
150,8,53648,15574
200,8,58044,16064
250,8,55209,13998
300,8,51009,12922
350,8,51756,12862
400,8,56929,11502
450,8,53663,10529
500,8,56794,9802
550,8,54274,9064
600,8,57560,8814
650,8,58382,8338
700,8,58281,8118
750,8,59591,7673
800,8,63784,7659
850,8,62582,7473
900,8,61353,7408
950,8,64764,7538
1000,8,65105,7279
25,16,109623,30797
50,16,89911,27008
100,16,53375,16933
150,16,23722,6756
200,16,18207,5241
250,16,14665,3755
300,16,8238,1663
350,16,10412,2227
400,16,8793,1866
450,16,8933,1600
500,16,8742,1586
550,16,9935,1567
600,16,8590,1538
650,16,8870,1540
700,16,10140,1603
750,16,12732,1854
800,16,8905,1549
850,16,9026,1604
900,16,9609,1728
950,16,9482,1565
1000,16,12056,1811
25,32,108634,30791
50,32,60587,19955
100,32,36443,12198
150,32,21238,6426
200,32,16151,4492
250,32,9552,2338
300,32,8656,2286
350,32,7406,1672
400,32,6477,1419
450,32,6776,1291
500,32,4169,1127
550,32,5784,1268
600,32,4442,1199
650,32,4635,1131
700,32,5743,1227
750,32,6058,1140
800,32,5084,1146
850,32,5263,1200
900,32,5059,1028
950,32,5065,1127
1000,32,5595,1156
25,64,99262,28636
50,64,53973,18014
100,64,37270,12674
150,64,14832,4465
200,64,12035,3563
250,64,7470,1695
300,64,6658,1626
350,64,5616,1301
400,64,4597,1120
450,64,4914,1130
500,64,3490,969
550,64,3355,961
600,64,3472,980
650,64,3484,969
700,64,4149,1004
750,64,4312,981
800,64,3927,1005
850,64,3725,914
900,64,3349,860
950,64,3631,950
1000,64,3565,970
25,128,80413,24774
50,128,40491,14020
100,128,21232,7305
150,128,15808,5209
200,128,7429,2407
250,128,4706,1368
300,128,3020,1033
350,128,4504,1255
400,128,2670,817
450,128,2562,821
500,128,2376,747
550,128,2601,831
600,128,2717,835
650,128,2571,801
700,128,2779,827
750,128,2532,765
800,128,2693,713
850,128,2647,741
900,128,2411,692
950,128,2318,657
1000,128,2369,675
