PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25, 8, 43441, 7290
50, 8, 29581, 7055
100, 8, 30901, 8781
150, 8, 38620, 9086
200, 8, 41389, 8039
250, 8, 42261, 6810
300, 8, 45138, 6606
350, 8, 47051, 5993
400, 8, 49880, 5564
450, 8, 50451, 5066
500, 8, 51043, 4988
550, 8, 52641, 4937
600, 8, 53913, 4892
650, 8, 54942, 4638
700, 8, 54699, 4550
750, 8, 55538, 4729
800, 8, 55606, 4750
850, 8, 59434, 4719
900, 8, 59726, 4638
950, 8, 58584, 4762
1000, 8, 61502, 5042
25, 16, 41392, 6683
50, 16, 25620, 5572
100, 16, 4333, 992
150, 16, 4039, 978
200, 16, 4055, 983
250, 16, 4279, 1052
300, 16, 4661, 1107
350, 16, 5091, 1093
400, 16, 5399, 1138
450, 16, 5741, 1152
500, 16, 6139, 1181
550, 16, 6788, 1173
600, 16, 7047, 1187
650, 16, 7448, 1273
700, 16, 7536, 1239
750, 16, 8270, 1308
800, 16, 8676, 1301
850, 16, 8682, 1315
900, 16, 9233, 1393
950, 16, 9300, 1318
1000, 16, 9927, 1382
25, 32, 33033, 3177
50, 32, 20880, 3648
100, 32, 3644, 732
150, 32, 3384, 750
200, 32, 3129, 679
250, 32, 3146, 700
300, 32, 2844, 646
350, 32, 2811, 612
400, 32, 2823, 669
450, 32, 2671, 595
500, 32, 2778, 614
550, 32, 2900, 704
600, 32, 2837, 695
650, 32, 2819, 606
700, 32, 3006, 737
750, 32, 2898, 625
800, 32, 3064, 692
850, 32, 3293, 765
900, 32, 3069, 620
950, 32, 3102, 710
1000, 32, 3303, 760
25, 64, 13383, 635
50, 64, 4847, 513
100, 64, 3034, 457
150, 64, 2744, 451
200, 64, 2404, 391
250, 64, 2483, 448
300, 64, 2362, 434
350, 64, 2358, 462
400, 64, 2138, 380
450, 64, 2096, 392
500, 64, 2132, 419
550, 64, 1939, 357
600, 64, 2048, 425
650, 64, 2079, 433
700, 64, 2034, 463
750, 64, 1923, 384
800, 64, 2115, 470
850, 64, 2141, 394
900, 64, 1922, 386
950, 64, 2076, 459
1000, 64, 2153, 475
25, 128, 9152, 98
50, 128, 2464, 113
100, 128, 2119, 115
150, 128, 1910, 104
200, 128, 1785, 101
250, 128, 1739, 94
300, 128, 1668, 107
350, 128, 1590, 94
400, 128, 1554, 95
450, 128, 1563, 100
500, 128, 1503, 101
550, 128, 1484, 105
600, 128, 1458, 104
650, 128, 1395, 104
700, 128, 1392, 101
750, 128, 1397, 116
800, 128, 1387, 114
850, 128, 1340, 106
900, 128, 1303, 110
950, 128, 1328, 103
1000, 128, 1301, 104
