PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 128, 144048, 10292
20, 128, 124637, 9157
30, 128, 115346, 8785
40, 128, 106439, 8555
50, 128, 100197, 7772
60, 128, 97677, 7912
70, 128, 96247, 8160
80, 128, 90780, 7353
90, 128, 89328, 7627
100, 128, 85952, 7259
110, 128, 84968, 7436
120, 128, 82221, 7151
130, 128, 80937, 7194
140, 128, 79468, 6711
150, 128, 77611, 6895
160, 128, 76872, 6808
170, 128, 74679, 6477
180, 128, 74590, 6783
190, 128, 72599, 6478
200, 128, 72951, 6616
210, 128, 72196, 6706
220, 128, 70936, 6298
230, 128, 70081, 6409
240, 128, 67514, 6231
250, 128, 68510, 6302
260, 128, 67188, 6237
270, 128, 66455, 6046
280, 128, 64885, 5876
290, 128, 64453, 5505
300, 128, 65690, 6000
310, 128, 64729, 5761
320, 128, 64858, 5933
330, 128, 62848, 5489
340, 128, 62740, 5791
350, 128, 62681, 5685
360, 128, 61529, 5498
370, 128, 60410, 5266
380, 128, 61052, 5337
390, 128, 60143, 5319
400, 128, 59609, 5308
410, 128, 59860, 5339
420, 128, 57949, 5249
430, 128, 57626, 5314
440, 128, 57694, 5439
450, 128, 57652, 5212
460, 128, 57337, 5077
470, 128, 56973, 5296
480, 128, 56092, 5037
490, 128, 56115, 5110
500, 128, 55334, 4851
510, 128, 54769, 4825
520, 128, 54417, 4941
530, 128, 54329, 4885
540, 128, 54249, 4947
550, 128, 53676, 4659
560, 128, 53293, 4653
570, 128, 53534, 4927
580, 128, 53579, 5033
590, 128, 53146, 4886
600, 128, 52394, 4897
610, 128, 52484, 5056
620, 128, 52110, 5074
630, 128, 52104, 5062
640, 128, 51972, 4961
650, 128, 51000, 4730
660, 128, 51141, 4971
670, 128, 50923, 4847
680, 128, 50802, 4817
690, 128, 50632, 4819
700, 128, 50524, 4931
710, 128, 50558, 4941
720, 128, 49790, 4753
730, 128, 50054, 4819
740, 128, 49969, 4845
750, 128, 49609, 4964
760, 128, 49557, 4905
770, 128, 49644, 4936
780, 128, 49136, 4983
790, 128, 49300, 4905
800, 128, 49448, 5002
810, 128, 48683, 4898
820, 128, 49141, 5029
830, 128, 48663, 4990
840, 128, 48324, 4925
850, 128, 48123, 4948
860, 128, 48727, 5123
870, 128, 47796, 4963
880, 128, 47910, 4991
890, 128, 48171, 5103
900, 128, 47527, 4986
910, 128, 47165, 4890
920, 128, 47474, 5011
930, 128, 47629, 5052
940, 128, 47050, 5058
950, 128, 47259, 5100
960, 128, 46599, 4927
970, 128, 46534, 4965
980, 128, 46082, 4846
990, 128, 45752, 4837
1000, 128, 46073, 4841
1010, 128, 46224, 4895
1020, 128, 45878, 4860
1030, 128, 46014, 4975
1040, 128, 45782, 4977
1050, 128, 45856, 4828
1060, 128, 45239, 4800
1070, 128, 45506, 4937
1080, 128, 45295, 4880
1090, 128, 45645, 4969
1100, 128, 45258, 4872
1110, 128, 45497, 4941
1120, 128, 44694, 4950
1130, 128, 45125, 5025
1140, 128, 45028, 5059
1150, 128, 45069, 4990
1160, 128, 44880, 4909
1170, 128, 44813, 5089
1180, 128, 44640, 4862
1190, 128, 44589, 5005
1200, 128, 44691, 5202
1210, 128, 44356, 5021
1220, 128, 44553, 4977
1230, 128, 44243, 4947
1240, 128, 44252, 5110
1250, 128, 44352, 5083
1260, 128, 44256, 5015
1270, 128, 44001, 5001
1280, 128, 43885, 5077
1290, 128, 44055, 5060
1300, 128, 43464, 5027
1310, 128, 43841, 5073
1320, 128, 43920, 5099
1330, 128, 43679, 5115
1340, 128, 44157, 5167
1350, 128, 43861, 5152
1360, 128, 43782, 5168
1370, 128, 44005, 5215
1380, 128, 43739, 5236
1390, 128, 43665, 5169
1400, 128, 43795, 5212
1410, 128, 43731, 5246
1420, 128, 43723, 5213
1430, 128, 43711, 5256
1440, 128, 43577, 5271
1450, 128, 43951, 5216
1460, 128, 43822, 5299
1470, 128, 43635, 5270
1480, 128, 43634, 5267
1490, 128, 44111, 5305
1500, 128, 43688, 5313
1510, 128, 43925, 5293
1520, 128, 43907, 5374
1530, 128, 43912, 5333
1540, 128, 44227, 5333
1550, 128, 43721, 5363
1560, 128, 43985, 5343
1570, 128, 44147, 5349
1580, 128, 43935, 5361
1590, 128, 44197, 5394
1600, 128, 43926, 5361
1610, 128, 44430, 5370
1620, 128, 44499, 5375
1630, 128, 44378, 5421
1640, 128, 44594, 5423
1650, 128, 44632, 5420
1660, 128, 44223, 5354
1670, 128, 44517, 5366
1680, 128, 44345, 5370
1690, 128, 44642, 5355
1700, 128, 44634, 5394
1710, 128, 44921, 5372
1720, 128, 44572, 5408
1730, 128, 44881, 5408
1740, 128, 45114, 5419
1750, 128, 45325, 5420
1760, 128, 45166, 5442
1770, 128, 45153, 5388
1780, 128, 45169, 5494
1790, 128, 45479, 5423
1800, 128, 45287, 5449
1810, 128, 46344, 5409
1820, 128, 45927, 5398
1830, 128, 45295, 5405
1840, 128, 46025, 5384
1850, 128, 46299, 5425
1860, 128, 46397, 5385
1870, 128, 45697, 5385
1880, 128, 46650, 5443
1890, 128, 46783, 5420
1900, 128, 46309, 5430
1910, 128, 47742, 5458
1920, 128, 46463, 5431
1930, 128, 46935, 5394
1940, 128, 47425, 5419
1950, 128, 47177, 5469
1960, 128, 47513, 5408
1970, 128, 47723, 5446
1980, 128, 47783, 5453
1990, 128, 47200, 5471
2000, 128, 47980, 5471
2010, 128, 49051, 5464
2020, 128, 49388, 5448
2030, 128, 48164, 5477
2040, 128, 48314, 5494
2050, 128, 49654, 5477
2060, 128, 49501, 5528
2070, 128, 49338, 5493
2080, 128, 50521, 5506
2090, 128, 50173, 5512
2100, 128, 49346, 5502
2110, 128, 48718, 5529
2120, 128, 50172, 5543
2130, 128, 50703, 5516
2140, 128, 50849, 5536
2150, 128, 50252, 5524
2160, 128, 51093, 5539
2170, 128, 50459, 5549
2180, 128, 51507, 5549
2190, 128, 52111, 5526
2200, 128, 52923, 5548
2210, 128, 52697, 5569
2220, 128, 52118, 5509
2230, 128, 52948, 5539
2240, 128, 52434, 5503
2250, 128, 53275, 5527
2260, 128, 52951, 5559
2270, 128, 53589, 5546
2280, 128, 53520, 5524
2290, 128, 53818, 5526
2300, 128, 54587, 5549
2310, 128, 54479, 5581
2320, 128, 54984, 5586
2330, 128, 54663, 5617
2340, 128, 56008, 5567
2350, 128, 54765, 5552
2360, 128, 55070, 5547
2370, 128, 56974, 5515
2380, 128, 55949, 5610
2390, 128, 56484, 5578
2400, 128, 56589, 5578
2410, 128, 57038, 5590
2420, 128, 57164, 5555
2430, 128, 57181, 5573
2440, 128, 58175, 5574
2450, 128, 57452, 5547
2460, 128, 59125, 5594
2470, 128, 58713, 5593
2480, 128, 59553, 5562
2490, 128, 58982, 5595
2500, 128, 58773, 5590
2510, 128, 59216, 5591
2520, 128, 59850, 5594
2530, 128, 59629, 5573
2540, 128, 60660, 5625
2550, 128, 60667, 5609
2560, 128, 60228, 5613
2570, 128, 61203, 5592
2580, 128, 60779, 5568
2590, 128, 62145, 5599
2600, 128, 61069, 5609
2610, 128, 57577, 5622
2620, 128, 62921, 5630
2630, 128, 63011, 5588
2640, 128, 63447, 5600
2650, 128, 61969, 5598
2660, 128, 62936, 5615
2670, 128, 63290, 5612
2680, 128, 64414, 5625
2690, 128, 63214, 5609
2700, 128, 63458, 5580
2710, 128, 64200, 5565
2720, 128, 63273, 5564
2730, 128, 64848, 5557
2740, 128, 63141, 5560
2750, 128, 66275, 5598
2760, 128, 65154, 5592
2770, 128, 65171, 5564
2780, 128, 66295, 5571
2790, 128, 66370, 5543
2800, 128, 65884, 5541
2810, 128, 66112, 5598
2820, 128, 67847, 5558
2830, 128, 67043, 5599
2840, 128, 65343, 5551
2850, 128, 67785, 5549
2860, 128, 66986, 5576
2870, 128, 67853, 5589
2880, 128, 66784, 5563
2890, 128, 68698, 5561
2900, 128, 68417, 5565
2910, 128, 69121, 5559
2920, 128, 69246, 5587
2930, 128, 68961, 5573
2940, 128, 69136, 5561
2950, 128, 70327, 5566
2960, 128, 69353, 5585
2970, 128, 69921, 5557
2980, 128, 71491, 5595
2990, 128, 70462, 5560
3000, 128, 69579, 5559
3010, 128, 70801, 5602
3020, 128, 72779, 5563
3030, 128, 71189, 5535
3040, 128, 70922, 5567
3050, 128, 72783, 5545
3060, 128, 70414, 5566
3070, 128, 70742, 5530
3080, 128, 72607, 5585
3090, 128, 72325, 5556
3100, 128, 70942, 5591
3110, 128, 72006, 5520
3120, 128, 72357, 5538
3130, 128, 73655, 5641
3140, 128, 72273, 5580
3150, 128, 71415, 5523
3160, 128, 73554, 5519
3170, 128, 74305, 5526
3180, 128, 73655, 5563
3190, 128, 73345, 5535
3200, 128, 72695, 5514
3210, 128, 75451, 5487
3220, 128, 73976, 5473
3230, 128, 76076, 5517
3240, 128, 75897, 5519
3250, 128, 75699, 5539
3260, 128, 75711, 5548
3270, 128, 76782, 5519
3280, 128, 75460, 5590
3290, 128, 75498, 5508
3300, 128, 74238, 5488
3310, 128, 76942, 5452
3320, 128, 76920, 5562
3330, 128, 78841, 5549
3340, 128, 77646, 5516
3350, 128, 77930, 5529
3360, 128, 77317, 5482
3370, 128, 78188, 5486
3380, 128, 75272, 5542
3390, 128, 78414, 5530
3400, 128, 77445, 5520
3410, 128, 78543, 5509
3420, 128, 76255, 5492
3430, 128, 80214, 5516
3440, 128, 78208, 5482
3450, 128, 77615, 5509
3460, 128, 79512, 5470
3470, 128, 80166, 5513
3480, 128, 79276, 5487
3490, 128, 79587, 5427
3500, 128, 77269, 5481
3510, 128, 78909, 5508
3520, 128, 78865, 5475
3530, 128, 79730, 5461
3540, 128, 80520, 5450
3550, 128, 76280, 5502
3560, 128, 80067, 5494
3570, 128, 80587, 5491
3580, 128, 80481, 5480
3590, 128, 79003, 5479
3600, 128, 79156, 5489
3610, 128, 82043, 5452
3620, 128, 81487, 5461
3630, 128, 80708, 5492
3640, 128, 80144, 5462
3650, 128, 84306, 5461
3660, 128, 79974, 5464
3670, 128, 81540, 5452
3680, 128, 83424, 5446
3690, 128, 80194, 5492
3700, 128, 83080, 5470
3710, 128, 81533, 5469
3720, 128, 81341, 5469
3730, 128, 80882, 5474
3740, 128, 80301, 5438
3750, 128, 82552, 5438
3760, 128, 81528, 5494
3770, 128, 81334, 5455
3780, 128, 81077, 5485
3790, 128, 82905, 5491
3800, 128, 84109, 5427
3810, 128, 84034, 5442
3820, 128, 83615, 5450
3830, 128, 82389, 5445
3840, 128, 81306, 5415
3850, 128, 85315, 5472
3860, 128, 83286, 5473
3870, 128, 85436, 5387
3880, 128, 85766, 5445
3890, 128, 86060, 5445
3900, 128, 85941, 5478
3910, 128, 85433, 5317
3920, 128, 77987, 5414
3930, 128, 82873, 5394
3940, 128, 85098, 5435
3950, 128, 82689, 5392
3960, 128, 84568, 5442
3970, 128, 86608, 5432
3980, 128, 84420, 5431
3990, 128, 84687, 5435
4000, 128, 84833, 5428
4010, 128, 83649, 5398
4020, 128, 86948, 5468
4030, 128, 84165, 5422
4040, 128, 84979, 5397
4050, 128, 85684, 5423
4060, 128, 83818, 5334
4070, 128, 85149, 5391
4080, 128, 84907, 5419
4090, 128, 86239, 5468
4100, 128, 86166, 5417
4110, 128, 85980, 5397
4120, 128, 85424, 5398
4130, 128, 87088, 5399
4140, 128, 85257, 5379
4150, 128, 87409, 5394
4160, 128, 83685, 5324
4170, 128, 85745, 5366
4180, 128, 84938, 5393
4190, 128, 87020, 5430
4200, 128, 86387, 5385
4210, 128, 87666, 5395
4220, 128, 84471, 5414
4230, 128, 87713, 5335
4240, 128, 85727, 5337
4250, 128, 87437, 5374
4260, 128, 84505, 5369
4270, 128, 88158, 5404
4280, 128, 87691, 5404
4290, 128, 86195, 5380
4300, 128, 87835, 5382
4310, 128, 90738, 5354
4320, 128, 86053, 5372
4330, 128, 87563, 5385
