PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,8,364906,55427
20,8,266227,41762
30,8,238884,36062
40,8,224845,32634
50,8,224009,30815
60,8,231316,29852
70,8,239210,29191
80,8,245640,28267
90,8,253652,27590
100,8,257852,26791
110,8,264424,26210
120,8,267666,25585
130,8,271203,25014
140,8,276361,24630
150,8,280030,24161
160,8,282350,23812
170,8,284797,23254
180,8,289309,23166
190,8,289893,22670
200,8,290462,22414
210,8,293251,22270
220,8,294967,22022
230,8,295603,21767
240,8,296631,21666
250,8,298667,21360
260,8,301062,21297
270,8,302772,21231
280,8,303277,20921
290,8,303836,21011
300,8,305407,20805
310,8,306570,20781
320,8,308038,20726
330,8,309855,20568
340,8,308957,20621
350,8,313224,20648
360,8,312708,20578
370,8,314409,20529
380,8,313546,20409
390,8,314450,20496
400,8,315235,20443
410,8,317189,20636
420,8,318580,20714
430,8,317235,20318
440,8,320885,20658
450,8,321512,20832
460,8,322231,20822
470,8,320116,20435
480,8,323152,20508
490,8,323008,20819
500,8,324714,20391
510,8,325589,20588
520,8,328125,20468
530,8,327148,20831
540,8,329069,21210
550,8,331354,20974
560,8,331164,21073
570,8,330172,21105
580,8,330931,21354
590,8,332919,21012
600,8,333978,21134
610,8,334550,21545
620,8,338821,22098
630,8,335285,21338
640,8,337472,21648
650,8,335328,21448
660,8,338959,22197
670,8,340772,22187
680,8,339772,22344
690,8,342271,22432
700,8,340777,22340
710,8,343232,22075
720,8,342056,22552
730,8,343529,22632
740,8,345617,22705
750,8,345090,22956
760,8,345064,23094
770,8,346302,22982
780,8,347177,22892
790,8,347464,23505
800,8,350037,23827
810,8,350725,23731
820,8,349368,23437
830,8,351598,23724
840,8,351285,23959
850,8,350173,23443
860,8,351751,23811
870,8,350859,23649
880,8,356128,24536
890,8,355063,24488
900,8,356662,24827
910,8,356307,24293
920,8,358090,24875
930,8,358202,24413
940,8,357074,24891
950,8,357807,24621
960,8,361089,25615
970,8,360309,24919
980,8,359938,24805
990,8,361537,25399
1000,8,361929,25143
1010,8,361621,25200
1020,8,361545,25625
1030,8,366765,26223
1040,8,364770,25712
1050,8,367716,26437
1060,8,364250,25957
1070,8,366288,26456
1080,8,366882,26599
1090,8,369427,26358
1100,8,368630,26409
1110,8,368388,26378
1120,8,370922,26900
1130,8,370804,26823
1140,8,370228,26965
1150,8,371127,26946
1160,8,372282,26933
1170,8,374686,27492
1180,8,374002,27865
1190,8,376149,28216
1200,8,376568,27961
1210,8,374155,27219
1220,8,377695,28447
1230,8,378588,28252
1240,8,378259,28430
1250,8,379483,28293
1260,8,376444,27873
1270,8,380157,28435
1280,8,377485,27765
1290,8,380203,28395
1300,8,377054,27614
1310,8,380799,28236
1320,8,382184,28981
1330,8,379949,28560
1340,8,380925,28203
1350,8,386034,30024
1360,8,385293,29639
1370,8,387942,29911
1380,8,388736,30215
1390,8,383722,29436
1400,8,388908,29935
1410,8,384181,29412
1420,8,385152,28761
1430,8,386292,29214
1440,8,388009,29952
1450,8,387109,29814
1460,8,388452,29593
1470,8,388554,29921
1480,8,394073,31272
1490,8,389595,30444
1500,8,390381,30252
1510,8,392661,30571
1520,8,392918,31109
1530,8,394635,31507
1540,8,394146,31199
1550,8,393520,30562
1560,8,390216,29615
1570,8,399753,31815
1580,8,395834,31486
1590,8,397163,31352
1600,8,398824,32003
1610,8,400575,32383
1620,8,393581,30759
1630,8,395867,30928
1640,8,397244,31809
1650,8,400861,32133
1660,8,398956,31722
1670,8,399078,32387
1680,8,400441,32196
1690,8,399166,32304
1700,8,398413,31858
1710,8,396215,31329
1720,8,398995,31775
1730,8,402017,32635
1740,8,401069,32984
1750,8,405840,33369
1760,8,400683,32306
1770,8,397865,31016
1780,8,405134,33171
1790,8,400780,32398
1800,8,407496,33695
1810,8,405155,33170
1820,8,404561,33135
1830,8,406648,33313
1840,8,403505,31834
1850,8,406866,33799
1860,8,407782,33564
1870,8,408453,33421
1880,8,405596,33524
1890,8,405849,33007
1900,8,406218,33221
1910,8,408142,33860
1920,8,409238,33649
1930,8,407725,33927
1940,8,410300,33351
1950,8,402630,32111
1960,8,409167,32987
1970,8,411403,34142
1980,8,410621,34077
1990,8,408512,33657
2000,8,409951,32908
2010,8,412963,33971
2020,8,409047,33715
2030,8,414157,34274
2040,8,411303,34343
2050,8,413219,34721
2060,8,414955,35048
2070,8,416714,35587
2080,8,410487,33822
2090,8,413761,35022
2100,8,412496,34492
2110,8,414843,34819
2120,8,416608,35167
2130,8,410566,32982
2140,8,413591,34449
2150,8,410367,33948
2160,8,414307,35009
2170,8,415280,34092
2180,8,417021,34664
2190,8,414127,34436
2200,8,419902,35787
2210,8,416706,34865
2220,8,418084,35181
2230,8,417579,35218
2240,8,418744,35669
2250,8,415218,34580
2260,8,416083,34610
2270,8,419076,35164
2280,8,416737,35185
2290,8,417512,34414
2300,8,416437,35170
2310,8,418516,35409
2320,8,417717,35031
2330,8,417229,34293
2340,8,419743,35160
2350,8,419382,35307
2360,8,417343,34851
2370,8,423169,36345
2380,8,424870,37284
2390,8,420730,35645
2400,8,420917,35571
2410,8,423323,36371
2420,8,421258,35874
2430,8,424515,37222
2440,8,423831,36420
2450,8,427598,37665
2460,8,424520,36421
2470,8,425705,37068
2480,8,423420,36657
2490,8,421561,35794
2500,8,425390,36031
2510,8,427359,37302
2520,8,418406,35252
2530,8,420074,35027
2540,8,421721,35378
2550,8,428744,37959
2560,8,422043,35928
2570,8,422546,35793
2580,8,425849,36718
2590,8,428862,38042
2600,8,428278,37025
2610,8,417917,34500
2620,8,418719,34685
2630,8,429948,37751
2640,8,425453,36571
2650,8,425832,37132
2660,8,422654,35817
2670,8,430355,38146
2680,8,427299,36891
2690,8,432777,37998
2700,8,436741,39610
2710,8,430852,37529
2720,8,422989,36215
2730,8,424494,36138
2740,8,430272,37812
2750,8,424734,36434
2760,8,434758,38016
2770,8,425757,36820
2780,8,430332,38067
2790,8,426985,36420
2800,8,431242,37662
2810,8,424614,36052
2820,8,430729,38321
2830,8,431081,37360
2840,8,425229,35800
2850,8,432304,38271
2860,8,427012,36680
2870,8,429830,37206
2880,8,432927,37728
2890,8,432291,38019
2900,8,426389,36475
2910,8,433115,38618
2920,8,427666,36216
2930,8,426648,36319
2940,8,433275,37710
2950,8,435792,38932
2960,8,431729,37413
2970,8,432667,38038
2980,8,432906,38591
2990,8,429999,36923
3000,8,431587,37549
3010,8,431790,37387
3020,8,436204,39039
3030,8,431532,37651
3040,8,432864,38218
3050,8,430502,36940
3060,8,428740,37278
3070,8,440186,39973
3080,8,439337,39566
3090,8,435057,38325
3100,8,441674,39501
3110,8,432878,37926
3120,8,431213,37118
3130,8,437859,38556
3140,8,446580,40899
3150,8,440910,40313
3160,8,432226,37736
3170,8,436116,39024
3180,8,442208,40508
3190,8,433241,37667
3200,8,431100,37387
3210,8,432111,37363
3220,8,441564,40065
3230,8,438738,39318
3240,8,430710,37123
3250,8,437977,38608
3260,8,435754,38445
3270,8,434741,37686
3280,8,437264,38836
3290,8,435177,39170
3300,8,440936,39728
3310,8,440974,39587
3320,8,440474,39288
3330,8,437905,39060
3340,8,442176,40172
3350,8,441399,40358
3360,8,443210,40118
3370,8,434820,39038
3380,8,439621,39108
3390,8,443595,40101
3400,8,445766,41796
3410,8,440662,39448
3420,8,436651,38916
3430,8,450109,41586
3440,8,437045,38912
3450,8,432524,37499
3460,8,440147,39610
3470,8,444589,40363
3480,8,441052,39920
3490,8,438811,38816
3500,8,434664,37715
3510,8,441756,39244
3520,8,444585,40502
3530,8,439187,39389
3540,8,435847,38077
3550,8,436150,38226
3560,8,442194,39791
3570,8,444097,40399
3580,8,434326,38315
3590,8,449662,41494
3600,8,442467,39747
3610,8,441397,39381
3620,8,443218,40364
3630,8,442725,39277
3640,8,446245,40875
3650,8,447460,40924
3660,8,444671,39964
3670,8,449478,41202
3680,8,443176,39731
3690,8,444417,39769
3700,8,442642,40184
3710,8,443531,40223
3720,8,450486,41762
3730,8,439381,38798
3740,8,438868,38943
3750,8,446185,40626
3760,8,444305,40826
3770,8,440514,38393
3780,8,439014,39111
3790,8,445888,40657
3800,8,446848,40865
3810,8,445398,39646
3820,8,452191,42147
3830,8,452565,41258
3840,8,441475,39291
3850,8,446748,40441
3860,8,443300,40703
3870,8,447039,40316
3880,8,444818,40405
3890,8,443475,39686
3900,8,448852,41201
3910,8,445580,39945
3920,8,432452,37055
3930,8,440095,39071
3940,8,449640,40534
3950,8,440425,39484
3960,8,446041,39939
3970,8,447489,41083
3980,8,443000,39212
3990,8,444736,40022
4000,8,446817,40541
4010,8,451508,41357
4020,8,444680,39435
4030,8,449132,41219
4040,8,441964,39206
4050,8,449816,40876
4060,8,446869,40009
4070,8,447029,41022
4080,8,446743,40807
4090,8,453738,41949
4100,8,450435,41546
4110,8,453724,42228
4120,8,451085,41750
4130,8,448355,40327
4140,8,447990,40749
4150,8,449659,40427
4160,8,443876,39987
4170,8,448520,41247
4180,8,449261,41516
4190,8,446035,40787
4200,8,451487,40997
4210,8,447725,41071
4220,8,447976,40645
4230,8,451465,41428
4240,8,442978,40263
4250,8,457370,43407
4260,8,443733,39504
4270,8,447712,40242
4280,8,448384,40920
4290,8,449895,40724
4300,8,447473,40634
4310,8,450351,40444
4320,8,446732,40579
4330,8,441496,38760
4340,8,451422,41105
4350,8,449749,41226
4360,8,458663,42922
4370,8,453560,42298
4380,8,453588,41799
4390,8,455102,41755
4400,8,459232,43485
4410,8,448514,41055
4420,8,455447,42170
4430,8,448055,41410
4440,8,456940,43410
4450,8,456383,42919
4460,8,453370,41745
4470,8,466525,45644
4480,8,451110,41620
4490,8,448287,40989
4500,8,456947,43000
4510,8,449554,41372
4520,8,456475,42250
4530,8,452000,41123
4540,8,449209,41147
4550,8,457915,42821
4560,8,450207,41338
4570,8,446152,40108
4580,8,448725,40860
4590,8,455443,42793
4600,8,447441,40315
4610,8,446875,40360
4620,8,448956,41409
4630,8,449985,41587
4640,8,452023,42062
4650,8,454780,42319
4660,8,447566,40474
4670,8,458032,43425
4680,8,454353,41592
4690,8,455018,41667
4700,8,458392,42854
4710,8,452944,41355
4720,8,443953,39141
4730,8,451200,40668
4740,8,456882,42755
4750,8,460951,43268
4760,8,454307,42189
4770,8,453497,41622
4780,8,457237,43061
4790,8,459042,43338
4800,8,450640,40902
4810,8,455329,42310
4820,8,459969,43068
4830,8,449473,40704
4840,8,456925,42754
4850,8,453832,41565
4860,8,448566,41317
4870,8,447856,40392
4880,8,456086,42588
4890,8,459581,42946
4900,8,454343,42618
4910,8,456378,42868
4920,8,465102,44476
4930,8,456750,42280
4940,8,459213,42776
4950,8,455965,42586
4960,8,456013,42614
4970,8,457543,42365
4980,8,451137,41060
4990,8,452510,41302
5000,8,458902,42181
