PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25, 8, 176609, 18880
50, 8, 198126, 18890
100, 8, 236123, 17674
150, 8, 257807, 17338
200, 8, 272491, 16923
250, 8, 282685, 16819
300, 8, 292494, 17270
350, 8, 301934, 17561
400, 8, 308885, 17756
450, 8, 316512, 18711
500, 8, 321773, 18824
550, 8, 328700, 19728
600, 8, 333393, 20167
650, 8, 336533, 20884
700, 8, 341585, 21146
750, 8, 349014, 22608
800, 8, 352827, 22854
850, 8, 352165, 22677
900, 8, 360838, 24944
950, 8, 361333, 24534
1000, 8, 367118, 25708
25, 16, 144708, 12219
50, 16, 126422, 12506
100, 16, 133650, 13563
150, 16, 156060, 13812
200, 16, 175888, 13806
250, 16, 190581, 13486
300, 16, 202974, 13533
350, 16, 211998, 13323
400, 16, 218390, 13204
450, 16, 225216, 13143
500, 16, 231170, 12906
550, 16, 238524, 12897
600, 16, 241757, 12956
650, 16, 246182, 13075
700, 16, 247898, 12949
750, 16, 252200, 12617
800, 16, 256270, 12875
850, 16, 257416, 12627
900, 16, 261927, 13022
950, 16, 264360, 12770
1000, 16, 268093, 12940
25, 32, 141210, 11164
50, 32, 117299, 9987
100, 32, 97128, 8993
150, 32, 90180, 9668
200, 32, 91114, 10481
250, 32, 96489, 11037
300, 32, 104417, 11203
350, 32, 113101, 11239
400, 32, 121971, 11157
450, 32, 129770, 11173
500, 32, 136769, 11142
550, 32, 145089, 11067
600, 32, 149946, 11071
650, 32, 155300, 10949
700, 32, 161049, 10906
750, 32, 165455, 10830
800, 32, 169820, 10717
850, 32, 173283, 10622
900, 32, 177710, 10627
950, 32, 179874, 10574
1000, 32, 182722, 10464
25, 64, 132665, 9681
50, 64, 111359, 8731
100, 64, 94630, 8192
150, 64, 83821, 7837
200, 64, 75883, 6813
250, 64, 71237, 6911
300, 64, 67329, 6535
350, 64, 65311, 6688
400, 64, 63977, 6879
450, 64, 63338, 7070
500, 64, 63060, 7263
550, 64, 63386, 7658
600, 64, 64186, 7824
650, 64, 66058, 8080
700, 64, 67932, 8150
750, 64, 70687, 8191
800, 64, 73337, 8384
850, 64, 76727, 8428
900, 64, 80607, 8344
950, 64, 83764, 8452
1000, 64, 86741, 8416
25, 128, 120351, 9093
50, 128, 100197, 7772
100, 128, 85952, 7259
150, 128, 77611, 6895
200, 128, 72951, 6616
250, 128, 68510, 6302
300, 128, 65690, 6000
350, 128, 62681, 5685
400, 128, 59609, 5308
450, 128, 57652, 5212
500, 128, 55334, 4851
550, 128, 53676, 4659
600, 128, 52394, 4897
650, 128, 51000, 4730
700, 128, 50524, 4931
750, 128, 49609, 4964
800, 128, 49448, 5002
850, 128, 48123, 4948
900, 128, 47527, 4986
950, 128, 47259, 5100
1000, 128, 46073, 4841
