PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,128,392189,52318
20,128,326303,49337
30,128,283321,46351
40,128,255800,44355
50,128,232247,39687
60,128,215290,37417
70,128,191163,34348
80,128,175281,31888
90,128,165116,29979
100,128,157489,28401
110,128,149984,26964
120,128,142526,25648
130,128,136678,24740
140,128,129514,23437
150,128,124759,22666
160,128,120397,21923
170,128,115473,21074
180,128,112063,20387
190,128,108338,19676
200,128,104869,19151
210,128,102260,18611
220,128,98816,18026
230,128,96701,17641
240,128,95700,17412
250,128,92368,16859
260,128,91751,16581
270,128,90017,16291
280,128,87773,15918
290,128,85231,15481
300,128,83699,15199
310,128,84080,15165
320,128,82175,14806
330,128,80280,14573
340,128,80100,14424
350,128,77590,14070
360,128,76566,13842
370,128,77254,13801
380,128,75173,13516
390,128,74124,13386
400,128,72548,13119
410,128,71647,12901
420,128,70084,12708
430,128,69103,12509
440,128,68246,12408
450,128,69033,12450
460,128,66705,12070
470,128,67142,12063
480,128,65369,11808
490,128,65673,11888
500,128,65059,11676
510,128,63895,11492
520,128,63695,11426
530,128,63037,11313
540,128,62688,11259
550,128,61986,11183
560,128,60949,11045
570,128,60076,10897
580,128,60944,10889
590,128,59295,10709
600,128,60080,10696
610,128,59949,10675
620,128,58265,10494
630,128,58057,10387
640,128,58310,10397
650,128,57284,10273
660,128,58556,10310
670,128,56798,10125
680,128,56209,10114
690,128,56080,9994
700,128,56861,10072
710,128,56224,10008
720,128,55768,9914
730,128,55834,9779
740,128,54835,9728
750,128,54553,9617
760,128,53601,9561
770,128,53557,9533
780,128,54703,9555
790,128,53124,9417
800,128,52698,9378
810,128,52685,9276
820,128,52028,9260
830,128,51819,9207
840,128,52597,9216
850,128,52412,9217
860,128,51639,9123
870,128,52445,9065
880,128,51994,9110
890,128,50111,8923
900,128,50585,8842
910,128,49170,8741
920,128,50636,8806
930,128,49288,8745
940,128,50212,8707
950,128,48499,8582
960,128,49953,8645
970,128,49777,8536
980,128,50602,8576
990,128,48603,8528
1000,128,47803,8408
1010,128,48981,8451
1020,128,47832,8356
1030,128,50233,8443
1040,128,47042,8223
1050,128,46047,8204
1060,128,46860,8172
1070,128,47374,8243
1080,128,46619,8146
1090,128,44403,8086
1100,128,45815,8054
1110,128,45323,8080
1120,128,44022,7969
1130,128,46697,8066
1140,128,43735,7905
1150,128,45212,7917
1160,128,44144,7884
1170,128,44062,7863
1180,128,43038,7823
1190,128,44304,7826
1200,128,44229,7820
1210,128,42790,7741
1220,128,44152,7741
1230,128,43703,7764
1240,128,43307,7712
1250,128,42866,7642
1260,128,41828,7585
1270,128,42341,7616
1280,128,43727,7637
1290,128,43619,7574
1300,128,41630,7442
1310,128,44285,7623
1320,128,43719,7528
1330,128,41028,7455
1340,128,40667,7433
1350,128,42276,7424
1360,128,41751,7379
1370,128,41536,7392
1380,128,41112,7323
1390,128,40717,7334
1400,128,40591,7322
1410,128,39794,7316
1420,128,39079,7244
1430,128,39536,7206
1440,128,40342,7256
1450,128,39302,7181
1460,128,40949,7169
1470,128,40937,7158
1480,128,41677,7199
1490,128,39218,7087
1500,128,40421,7166
1510,128,40590,7071
1520,128,39371,7062
1530,128,39179,7091
1540,128,40108,7071
1550,128,40870,7019
1560,128,38196,6935
1570,128,38297,6967
1580,128,41397,6967
1590,128,40264,6964
1600,128,38925,6930
1610,128,41099,7003
1620,128,37939,6879
1630,128,37233,6824
1640,128,38636,6829
1650,128,38474,6828
1660,128,40265,6915
1670,128,39346,6837
1680,128,37780,6754
1690,128,37325,6727
1700,128,39289,6788
1710,128,37577,6732
1720,128,37659,6729
1730,128,37677,6712
1740,128,36898,6645
1750,128,37613,6656
1760,128,38122,6605
1770,128,38102,6603
1780,128,38820,6657
1790,128,38478,6691
1800,128,38313,6570
1810,128,36615,6629
1820,128,38328,6565
1830,128,36173,6550
1840,128,36877,6556
1850,128,38454,6599
1860,128,35252,6459
1870,128,37418,6501
1880,128,38139,6513
1890,128,36823,6465
1900,128,36948,6435
1910,128,39526,6587
1920,128,36600,6427
1930,128,37265,6406
1940,128,36059,6458
1950,128,38161,6447
1960,128,36850,6380
1970,128,35021,6304
1980,128,38034,6427
1990,128,36229,6354
2000,128,37132,6384
2010,128,35921,6329
2020,128,34697,6252
2030,128,33772,6299
2040,128,34531,6258
2050,128,37050,6302
2060,128,37820,6295
2070,128,38053,6310
2080,128,33395,6176
2090,128,36817,6229
2100,128,33263,6115
2110,128,35114,6150
2120,128,35688,6187
2130,128,32585,6157
2140,128,33094,6104
2150,128,32706,6120
2160,128,31034,6103
2170,128,30886,5983
2180,128,31404,6018
2190,128,32446,6078
2200,128,31205,6064
2210,128,33932,6073
2220,128,30042,5919
2230,128,31929,5987
2240,128,31552,5988
2250,128,29881,5938
2260,128,30813,5891
2270,128,30525,5947
2280,128,30223,5907
2290,128,29194,5845
2300,128,30637,5982
2310,128,30189,5921
2320,128,30528,5907
2330,128,30594,5912
2340,128,28891,5858
2350,128,29056,5889
2360,128,29666,5828
2370,128,29853,5791
2380,128,29105,5791
2390,128,30315,5779
2400,128,29423,5798
2410,128,29761,5815
2420,128,29204,5743
2430,128,32021,5841
2440,128,31520,5852
2450,128,29338,5701
2460,128,30547,5804
2470,128,31206,5734
2480,128,29687,5703
2490,128,29255,5738
2500,128,29459,5774
2510,128,29289,5766
2520,128,29681,5770
2530,128,28849,5746
2540,128,28740,5675
2550,128,27282,5676
2560,128,30047,5782
2570,128,29517,5736
2580,128,31147,5751
2590,128,27452,5663
2600,128,28732,5669
2610,128,28365,5704
2620,128,28458,5668
2630,128,27119,5574
2640,128,29095,5640
2650,128,30574,5691
2660,128,29167,5684
2670,128,28597,5656
2680,128,27399,5568
2690,128,27110,5576
2700,128,26659,5512
2710,128,28602,5587
2720,128,27249,5554
2730,128,28032,5579
2740,128,27297,5551
