PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 32, 268362, 26546
20, 32, 212948, 18740
30, 32, 171748, 14175
40, 32, 143140, 13096
50, 32, 121877, 10940
60, 32, 107444, 10259
70, 32, 91283, 9345
80, 32, 79940, 8917
90, 32, 73556, 8178
100, 32, 69601, 8016
110, 32, 66172, 7703
120, 32, 63856, 7567
130, 32, 61822, 7506
140, 32, 59848, 7406
150, 32, 58589, 7515
160, 32, 57026, 7512
170, 32, 56043, 7613
180, 32, 55394, 7614
190, 32, 54917, 7782
200, 32, 54574, 7899
210, 32, 54215, 7902
220, 32, 54342, 8001
230, 32, 54157, 8076
240, 32, 54214, 8114
250, 32, 54577, 8168
260, 32, 54266, 8183
270, 32, 55125, 8252
280, 32, 55566, 8271
290, 32, 55623, 8327
300, 32, 55955, 8327
310, 32, 56884, 8320
320, 32, 57145, 8315
330, 32, 57813, 8351
340, 32, 58011, 8351
350, 32, 58583, 8374
360, 32, 59475, 8327
370, 32, 59793, 8344
380, 32, 60102, 8353
390, 32, 61434, 8300
400, 32, 61463, 8310
410, 32, 62724, 8241
420, 32, 63190, 8204
430, 32, 63086, 8257
440, 32, 63554, 8241
450, 32, 66727, 8235
460, 32, 64725, 8218
470, 32, 65662, 8161
480, 32, 66573, 8154
490, 32, 67136, 8181
500, 32, 68314, 8136
510, 32, 68918, 8098
520, 32, 68355, 8115
530, 32, 69583, 8074
540, 32, 71112, 8125
550, 32, 71273, 8106
560, 32, 72225, 8083
570, 32, 72411, 8035
580, 32, 71558, 8025
590, 32, 73905, 8030
600, 32, 74223, 8023
610, 32, 74454, 8048
620, 32, 75243, 8023
630, 32, 72890, 8038
640, 32, 77210, 7958
650, 32, 75158, 7979
660, 32, 75420, 7940
670, 32, 75852, 7923
680, 32, 78069, 7919
690, 32, 76362, 7916
700, 32, 77186, 7958
710, 32, 78684, 7915
720, 32, 79185, 7850
730, 32, 80330, 7906
740, 32, 80912, 7833
750, 32, 80776, 7913
760, 32, 80625, 7815
770, 32, 83470, 7844
780, 32, 82902, 7799
790, 32, 83352, 7791
800, 32, 83384, 7761
810, 32, 86211, 7824
820, 32, 84830, 7747
830, 32, 85204, 7781
840, 32, 85858, 7708
850, 32, 85484, 7691
860, 32, 84951, 7759
870, 32, 86239, 7723
880, 32, 86101, 7693
890, 32, 89736, 7691
900, 32, 89286, 7730
910, 32, 90671, 7669
920, 32, 88169, 7715
930, 32, 89361, 7644
940, 32, 87401, 7642
950, 32, 89942, 7587
960, 32, 88740, 7637
970, 32, 87459, 7585
980, 32, 90105, 7668
990, 32, 90960, 7641
1000, 32, 93132, 7621
1010, 32, 94137, 7583
1020, 32, 93289, 7634
1030, 32, 94992, 7627
1040, 32, 92995, 7549
1050, 32, 95363, 7609
1060, 32, 94250, 7613
1070, 32, 98029, 7560
1080, 32, 96399, 7560
1090, 32, 95894, 7545
1100, 32, 98664, 7550
1110, 32, 98774, 7480
1120, 32, 100483, 7551
1130, 32, 97445, 7559
1140, 32, 101218, 7433
1150, 32, 99520, 7585
1160, 32, 101214, 7495
1170, 32, 100275, 7457
1180, 32, 103164, 7478
1190, 32, 100849, 7514
1200, 32, 101977, 7510
1210, 32, 103202, 7481
1220, 32, 98793, 7443
1230, 32, 104399, 7421
1240, 32, 104087, 7447
1250, 32, 105843, 7433
1260, 32, 100863, 7434
1270, 32, 103788, 7420
1280, 32, 108886, 7486
1290, 32, 104623, 7520
1300, 32, 105567, 7354
1310, 32, 104653, 7505
1320, 32, 103418, 7457
1330, 32, 109623, 7406
1340, 32, 109060, 7446
1350, 32, 107803, 7424
1360, 32, 106055, 7431
1370, 32, 106211, 7368
1380, 32, 105972, 7425
1390, 32, 105899, 7398
1400, 32, 108053, 7403
1410, 32, 112374, 7342
1420, 32, 114072, 7389
1430, 32, 108113, 7302
1440, 32, 112883, 7383
1450, 32, 113116, 7390
1460, 32, 112929, 7358
1470, 32, 114798, 7329
1480, 32, 113735, 7304
1490, 32, 116748, 7364
1500, 32, 112822, 7271
1510, 32, 113971, 7309
1520, 32, 114232, 7317
1530, 32, 115493, 7403
1540, 32, 115390, 7310
1550, 32, 116802, 7240
1560, 32, 117699, 7217
1570, 32, 121652, 7291
1580, 32, 113394, 7222
1590, 32, 118361, 7248
1600, 32, 121231, 7316
1610, 32, 117320, 7340
1620, 32, 123916, 7292
1630, 32, 119693, 7190
1640, 32, 123955, 7220
1650, 32, 124899, 7189
1660, 32, 123903, 7302
1670, 32, 122282, 7198
1680, 32, 126635, 7288
1690, 32, 122092, 7218
1700, 32, 122477, 7201
1710, 32, 123423, 7215
1720, 32, 125022, 7246
1730, 32, 126631, 7233
1740, 32, 123708, 7153
1750, 32, 129386, 7187
1760, 32, 125934, 7160
1770, 32, 131502, 7199
1780, 32, 129488, 7135
1790, 32, 131171, 7174
1800, 32, 126923, 7123
1810, 32, 128602, 7240
1820, 32, 134852, 7174
1830, 32, 131480, 7028
1840, 32, 129537, 7135
1850, 32, 131143, 7218
1860, 32, 131836, 7085
1870, 32, 130598, 7151
1880, 32, 130180, 7074
1890, 32, 130949, 7210
1900, 32, 131170, 7123
1910, 32, 133751, 7204
1920, 32, 133371, 7120
1930, 32, 135029, 7323
1940, 32, 133830, 7121
1950, 32, 132776, 7050
1960, 32, 135346, 7057
1970, 32, 134588, 7114
1980, 32, 132047, 7187
1990, 32, 137622, 7078
2000, 32, 136903, 7172
2010, 32, 136026, 7149
2020, 32, 137188, 7060
2030, 32, 132793, 7041
2040, 32, 140631, 7168
2050, 32, 139661, 7112
2060, 32, 139052, 7214
2070, 32, 137065, 7190
2080, 32, 138299, 7094
2090, 32, 140876, 7354
2100, 32, 140523, 7246
2110, 32, 142222, 7147
2120, 32, 142454, 7129
2130, 32, 143461, 7069
2140, 32, 142789, 7130
2150, 32, 140738, 7162
2160, 32, 144255, 7067
2170, 32, 143822, 7074
2180, 32, 145263, 7233
