PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25,8,357258,55280
50,8,343370,54586
100,8,343419,45152
150,8,377682,37272
200,8,400652,31621
250,8,420591,27821
300,8,446392,25222
350,8,462611,23655
400,8,477024,22422
450,8,491857,21641
500,8,497998,21028
550,8,514116,21075
600,8,518887,20101
650,8,527831,19845
700,8,534010,20023
750,8,544274,19948
800,8,547742,20128
850,8,552808,19849
900,8,558756,20299
950,8,563850,20224
1000,8,564556,20139
25,16,340143,53744
50,16,272391,47567
100,16,200675,34685
150,16,195594,32785
200,16,198018,29601
250,16,201343,26502
300,16,203428,23922
350,16,207966,21913
400,16,212970,20286
450,16,215988,19063
500,16,218758,17970
550,16,224667,17119
600,16,228160,16360
650,16,231351,15781
700,16,233126,15278
750,16,239313,14845
800,16,245245,14412
850,16,246572,14156
900,16,249277,13953
950,16,255439,13789
1000,16,254371,13636
25,32,331518,52561
50,32,257957,44820
100,32,170477,30451
150,32,135274,24392
200,32,118348,20998
250,32,109468,19102
300,32,99730,17394
350,32,95008,16308
400,32,88261,15131
450,32,91052,15069
500,32,90960,14788
550,32,93257,14651
600,32,95561,14454
650,32,95951,14190
700,32,97715,13942
750,32,99150,13548
800,32,100640,13093
850,32,103077,12849
900,32,104123,12582
950,32,106227,12263
1000,32,108239,12024
25,64,321786,51256
50,64,250565,43338
100,64,165984,29735
150,64,129784,23539
200,64,110965,20072
250,64,98425,17679
300,64,89067,15981
350,64,83240,14774
400,64,76750,13775
450,64,72600,12905
500,64,69591,12189
550,64,67733,11868
600,64,65790,11308
650,64,63991,10924
700,64,63238,10641
750,64,60287,10201
800,64,60619,10088
850,64,61356,9874
900,64,57953,9395
950,64,55916,9172
1000,64,56824,9097
25,128,305506,48432
50,128,232247,39687
100,128,157489,28401
150,128,124759,22666
200,128,104869,19151
250,128,92368,16859
300,128,83699,15199
350,128,77590,14070
400,128,72548,13119
450,128,69033,12450
500,128,65059,11676
550,128,61986,11183
600,128,60080,10696
650,128,57284,10273
700,128,56861,10072
750,128,54553,9617
800,128,52698,9378
850,128,52412,9217
900,128,50585,8842
950,128,48499,8582
1000,128,47803,8408
