PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25, 8, 293731, 53060
50, 8, 299645, 51426
100, 8, 312895, 39092
150, 8, 345963, 33287
200, 8, 385692, 27952
250, 8, 418788, 24699
300, 8, 449458, 23172
350, 8, 473506, 21802
400, 8, 489828, 20879
450, 8, 506176, 20875
500, 8, 517088, 20628
550, 8, 530184, 20476
600, 8, 538697, 20293
650, 8, 548520, 20505
700, 8, 557719, 20669
750, 8, 562507, 21359
800, 8, 567624, 20609
850, 8, 573238, 21057
900, 8, 576875, 21323
950, 8, 583919, 21950
1000, 8, 581963, 21437
25, 16, 199356, 19209
50, 16, 167747, 28925
100, 16, 154738, 25708
150, 16, 162910, 21729
200, 16, 166754, 18913
250, 16, 168784, 17025
300, 16, 175411, 15855
350, 16, 180021, 14857
400, 16, 185084, 14025
450, 16, 190786, 13701
500, 16, 194647, 13102
550, 16, 200432, 12711
600, 16, 207874, 12360
650, 16, 211649, 12124
700, 16, 216244, 11915
750, 16, 221929, 11810
800, 16, 227871, 11434
850, 16, 232122, 11519
900, 16, 238313, 11461
950, 16, 244649, 11417
1000, 16, 244879, 11374
25, 32, 190970, 16129
50, 32, 121877, 10940
100, 32, 69601, 8016
150, 32, 58589, 7515
200, 32, 54574, 7899
250, 32, 54577, 8168
300, 32, 55955, 8327
350, 32, 58583, 8374
400, 32, 61463, 8310
450, 32, 66727, 8235
500, 32, 68314, 8136
550, 32, 71273, 8106
600, 32, 74223, 8023
650, 32, 75158, 7979
700, 32, 77186, 7958
750, 32, 80776, 7913
800, 32, 83384, 7761
850, 32, 85484, 7691
900, 32, 89286, 7730
950, 32, 89942, 7587
1000, 32, 93132, 7621
25, 64, 164606, 13290
50, 64, 104260, 9300
100, 64, 61810, 6583
150, 64, 53235, 5769
200, 64, 44756, 5208
250, 64, 41788, 4916
300, 64, 38467, 4705
350, 64, 35674, 4543
400, 64, 33636, 4400
450, 64, 32199, 4395
500, 64, 31315, 4482
550, 64, 30484, 4497
600, 64, 30480, 4586
650, 64, 29743, 4635
700, 64, 30008, 4818
750, 64, 30139, 4800
800, 64, 30404, 4803
850, 64, 31000, 4894
900, 64, 32429, 4948
950, 64, 33526, 5063
1000, 64, 34558, 5021
25, 128, 149887, 13212
50, 128, 94447, 8382
100, 128, 53877, 5733
150, 128, 44640, 4625
200, 128, 40028, 4171
250, 128, 36308, 3841
300, 128, 34553, 3722
350, 128, 32382, 3616
400, 128, 30454, 3381
450, 128, 28499, 3308
500, 128, 27841, 3449
550, 128, 26348, 3224
600, 128, 24963, 3130
650, 128, 24296, 3069
700, 128, 23862, 3131
750, 128, 23043, 3120
800, 128, 22452, 3181
850, 128, 21591, 3002
900, 128, 21115, 2997
950, 128, 20811, 2976
1000, 128, 20365, 3010
