PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
25,8,245166,38184
50,8,224009,30815
100,8,257852,26791
150,8,280030,24161
200,8,290462,22414
250,8,298667,21360
300,8,305407,20805
350,8,313224,20648
400,8,315235,20443
450,8,321512,20832
500,8,324714,20391
550,8,331354,20974
600,8,333978,21134
650,8,335328,21448
700,8,340777,22340
750,8,345090,22956
800,8,350037,23827
850,8,350173,23443
900,8,356662,24827
950,8,357807,24621
1000,8,361929,25143
25,16,242485,37754
50,16,193949,28477
100,16,190390,24016
150,16,166898,20865
200,16,192121,20278
250,16,206825,19322
300,16,219940,18804
350,16,228618,18142
400,16,234319,17680
450,16,240338,17164
500,16,245743,16670
550,16,251012,16301
600,16,254640,16074
650,16,257532,15924
700,16,258446,15635
750,16,261524,15300
800,16,265894,15316
850,16,265600,14891
900,16,270001,15175
950,16,272518,14930
1000,16,274298,14897
25,32,239381,37459
50,32,184343,27780
100,32,148523,21540
150,32,128655,18564
200,32,118252,17104
250,32,121430,16629
300,32,116364,15957
350,32,125551,15829
400,32,126313,15300
450,32,132537,15157
500,32,142737,15076
550,32,150838,14763
600,32,157016,14640
650,32,163025,14428
700,32,168548,14239
750,32,171968,14017
800,32,177347,13874
850,32,180694,13699
900,32,185132,13580
950,32,187795,13412
1000,32,189821,13273
25,64,234540,36988
50,64,179492,27399
100,64,145539,21321
150,64,127549,18368
200,64,112971,16461
250,64,105434,15318
300,64,100337,14610
350,64,94294,13942
400,64,90723,13505
450,64,88547,13157
500,64,84743,12770
550,64,83227,12576
600,64,82508,12298
650,64,82851,12134
700,64,80371,11879
750,64,82137,11742
800,64,82458,11731
850,64,88623,11768
900,64,84235,11466
950,64,91462,11603
1000,64,89508,11384
25,128,223930,36013
50,128,174764,26929
100,128,140528,20930
150,128,121375,17929
200,128,110824,16238
250,128,104182,15129
300,128,96046,14080
350,128,91667,13416
400,128,86838,12813
450,128,85247,12421
500,128,81297,11982
550,128,78424,11627
600,128,76430,11433
650,128,75774,11204
700,128,73754,11055
750,128,71344,10790
800,128,72012,10709
850,128,70486,10543
900,128,69002,10378
950,128,68575,10277
1000,128,66807,10019
